id,user,uid,version,changeset,timestamp
268511802,Saikrishna_FultonCountyImport,1981121,1,21275923,2014-03-24T00:32:47Z
268511807,Saikrishna_FultonCountyImport,1981121,1,21275923,2014-03-24T00:32:47Z
268511811,Saikrishna_FultonCountyImport,1981121,1,21275923,2014-03-24T00:32:48Z
268511815,Saikrishna_FultonCountyImport,1981121,1,21275923,2014-03-24T00:32:48Z
268511820,Saikrishna_FultonCountyImport,1981121,1,21275923,2014-03-24T00:32:48Z
268511825,Saikrishna_FultonCountyImport,1981121,1,21275923,2014-03-24T00:32:48Z
268511830,Saikrishna_FultonCountyImport,1981121,1,21275923,2014-03-24T00:32:49Z
268511835,Saikrishna_FultonCountyImport,1981121,1,21275923,2014-03-24T00:32:49Z
268512079,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:41Z
268512083,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:41Z
268512087,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:42Z
268512091,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:43Z
268512095,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:43Z
268512099,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:44Z
268512103,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:44Z
268512107,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:45Z
268512111,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:45Z
268512115,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:46Z
268512119,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:46Z
268512123,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:47Z
268512127,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:47Z
268512131,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:48Z
268512135,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:49Z
268512139,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:49Z
268512143,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:50Z
268512147,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:50Z
268512153,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:51Z
268512157,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:52Z
268512161,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:52Z
268512165,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:52Z
268512169,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:53Z
268512173,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:53Z
268512177,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:54Z
268512181,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:55Z
268512186,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:55Z
268512190,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:56Z
268512194,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:56Z
268512198,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:57Z
268512202,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:58Z
268512206,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:58Z
268512210,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:59Z
268512214,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:35:59Z
268512218,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:00Z
268512222,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:01Z
268512226,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:01Z
268512230,Saikrishna_FultonCountyImport,1981121,1,21275932,2014-03-24T00:36:02Z
